ID,Neighborhood,GrLivArea,SalePrice,is_NAmes,is_Edwards,is_BrkSide
10,BrkSide,1077,118000,0,0,1
15,NAmes,1253,157000,1,0,0
16,BrkSide,854,132000,0,0,1
17,NAmes,1004,149000,1,0,0
20,NAmes,1339,139000,1,0,0
27,NAmes,900,134800,1,0,0
29,NAmes,1600,207500,1,0,0
30,BrkSide,520,68500,0,0,1
34,NAmes,1700,165500,1,0,0
38,NAmes,1297,153000,1,0,0
39,NAmes,1057,109000,1,0,0
40,Edwards,1152,82000,0,1,0
41,NAmes,1324,160000,1,0,0
45,NAmes,1150,141000,1,0,0
52,BrkSide,1176,114500,0,0,1
55,NAmes,1360,130000,1,0,0
56,NAmes,1425,180500,1,0,0
67,NAmes,2207,180000,1,0,0
71,NAmes,2223,244000,1,0,0
74,NAmes,1086,144900,1,0,0
77,NAmes,952,135750,1,0,0
78,BrkSide,1285,127000,0,0,1
81,NAmes,2142,193500,1,0,0
84,NAmes,1065,126500,1,0,0
91,NAmes,1040,109900,1,0,0
92,NAmes,1235,98600,1,0,0
98,Edwards,960,94750,0,1,0
99,Edwards,835,83000,0,1,0
100,NAmes,1225,128950,1,0,0
111,Edwards,1855,136900,0,1,0
118,Edwards,1125,155000,0,1,0
123,NAmes,1080,136000,1,0,0
129,NAmes,1348,155000,1,0,0
130,NAmes,1053,150000,1,0,0
131,NAmes,2157,226000,1,0,0
133,NAmes,1327,150750,1,0,0
137,NAmes,1214,143000,1,0,0
141,NAmes,864,115000,1,0,0
143,NAmes,1385,166000,1,0,0
146,Edwards,1709,130000,0,1,0
147,BrkSide,875,105000,0,0,1
150,BrkSide,1344,115000,0,0,1
156,Edwards,1096,79000,0,1,0
157,NAmes,1040,109500,1,0,0
166,Edwards,1355,127500,0,1,0
172,NAmes,1656,215000,1,0,0
174,NAmes,1362,163000,1,0,0
176,Edwards,2158,243000,0,1,0
183,Edwards,1340,120000,0,1,0
185,BrkSide,1252,127000,0,0,1
192,NAmes,1479,184000,1,0,0
194,Edwards,1709,130000,0,1,0
198,NAmes,3112,235000,1,0,0
201,Edwards,1121,140000,0,1,0
208,NAmes,1100,141000,1,0,0
210,NAmes,1092,145000,1,0,0
211,Edwards,864,98000,0,1,0
212,Edwards,1212,186000,0,1,0
216,NAmes,1236,134450,1,0,0
224,NAmes,864,97000,1,0,0
231,NAmes,1194,148000,1,0,0
240,Edwards,1487,113000,0,1,0
248,NAmes,1375,140000,1,0,0
251,BrkSide,1306,76500,0,0,1
254,NAmes,1302,158000,1,0,0
255,NAmes,1314,145000,1,0,0
261,NAmes,1382,176000,1,0,0
270,Edwards,1113,148000,0,1,0
274,NAmes,1632,139000,1,0,0
276,BrkSide,1548,205000,0,0,1
287,NAmes,1734,159000,1,0,0
288,NAmes,858,88000,1,0,0
290,BrkSide,1396,153575,0,0,1
293,Edwards,1716,131000,0,1,0
295,NAmes,1644,167000,1,0,0
309,Edwards,861,82500,0,1,0
312,NAmes,972,132000,1,0,0
325,NAmes,2978,242000,1,0,0
328,NAmes,1383,145250,1,0,0
329,BrkSide,2134,214500,0,0,1
331,NAmes,1728,119000,1,0,0
332,NAmes,1056,139000,1,0,0
340,NAmes,1215,155000,1,0,0
343,NAmes,1040,87500,1,0,0
346,BrkSide,1577,140200,0,0,1
347,NAmes,958,151500,1,0,0
348,NAmes,1478,157500,1,0,0
353,Edwards,1111,95000,0,1,0
362,BrkSide,1505,145000,0,0,1
363,Edwards,1922,198500,0,1,0
367,NAmes,1394,159000,1,0,0
368,NAmes,1431,165000,1,0,0
369,NAmes,1268,132000,1,0,0
370,NAmes,1287,162000,1,0,0
374,NAmes,1319,123000,1,0,0
376,Edwards,904,61000,0,1,0
387,Edwards,1184,81000,0,1,0
388,Edwards,1125,125000,0,1,0
391,Edwards,1367,119000,0,1,0
393,NAmes,882,106500,1,0,0
394,BrkSide,788,100000,0,0,1
396,Edwards,1144,129000,0,1,0
398,NAmes,1812,169500,1,0,0
411,Edwards,1276,60000,0,1,0
419,Edwards,1134,126000,0,1,0
420,NAmes,1056,142000,1,0,0
425,NAmes,1196,139000,1,0,0
428,NAmes,907,109008,1,0,0
438,BrkSide,904,119000,0,0,1
440,Edwards,1196,110000,0,1,0
442,Edwards,1440,118000,0,1,0
443,BrkSide,1573,162900,0,0,1
446,Edwards,1689,127500,0,1,0
447,NAmes,1888,190000,1,0,0
460,BrkSide,1203,110000,0,0,1
467,NAmes,1277,167000,1,0,0
468,NAmes,1644,146500,1,0,0
473,Edwards,1072,148000,0,1,0
486,NAmes,1113,147000,1,0,0
487,NAmes,1073,156000,1,0,0
492,NAmes,1578,133000,1,0,0
494,NAmes,1269,155000,1,0,0
498,BrkSide,1820,184000,0,0,1
500,NAmes,912,120000,1,0,0
503,Edwards,1214,140000,0,1,0
510,NAmes,1041,124500,1,0,0
511,NAmes,1363,164900,1,0,0
513,NAmes,864,129900,1,0,0
522,NAmes,1244,150000,1,0,0
523,BrkSide,1664,159000,0,0,1
524,Edwards,4676,184750,0,1,0
527,NAmes,928,132000,1,0,0
529,Edwards,605,86000,0,1,0
532,BrkSide,1362,128000,0,0,1
533,NAmes,827,107500,1,0,0
534,BrkSide,334,39300,0,0,1
536,Edwards,1347,107500,0,1,0
538,NAmes,864,111250,1,0,0
544,NAmes,767,133000,1,0,0
547,BrkSide,1635,210000,0,0,1
554,Edwards,1126,108000,0,1,0
556,BrkSide,1048,113000,0,0,1
557,NAmes,1092,141000,1,0,0
563,Edwards,996,108000,0,1,0
564,Edwards,1674,185000,0,1,0
570,NAmes,943,135960,1,0,0
571,NAmes,1728,142600,1,0,0
572,NAmes,864,120000,1,0,0
575,NAmes,1109,139000,1,0,0
576,NAmes,1216,118500,1,0,0
581,NAmes,1429,181900,1,0,0
583,Edwards,816,118500,0,1,0
585,BrkSide,1573,133000,0,0,1
587,BrkSide,838,130000,0,0,1
590,BrkSide,935,79500,0,0,1
606,NAmes,1986,205000,1,0,0
608,Edwards,2008,225000,0,1,0
616,NAmes,1054,137500,1,0,0
618,NAmes,832,105500,1,0,0
621,Edwards,864,67000,0,1,0
626,NAmes,1116,160000,1,0,0
627,NAmes,1422,139900,1,0,0
628,NAmes,1520,153000,1,0,0
629,NAmes,2080,135000,1,0,0
630,NAmes,1350,168500,1,0,0
634,NAmes,1056,139400,1,0,0
637,BrkSide,800,60000,0,0,1
639,Edwards,796,85000,0,1,0
643,NAmes,2704,345000,1,0,0
646,NAmes,981,143250,1,0,0
647,NAmes,1048,98300,1,0,0
648,Edwards,1094,155000,0,1,0
649,NAmes,1839,155000,1,0,0
652,Edwards,1510,108000,0,1,0
657,NAmes,1053,145500,1,0,0
659,NAmes,1458,97500,1,0,0
660,Edwards,1486,167000,0,1,0
663,NAmes,1392,110000,1,0,0
664,Edwards,1181,137500,0,1,0
667,NAmes,2380,129000,1,0,0
672,Edwards,1369,103600,0,1,0
675,NAmes,1136,140000,1,0,0
695,BrkSide,1539,141500,0,0,1
697,BrkSide,616,89000,0,0,1
698,Edwards,1148,123500,0,1,0
711,BrkSide,729,52000,0,0,1
714,BrkSide,960,129000,0,0,1
723,NAmes,864,124500,1,0,0
724,Edwards,1470,135000,0,1,0
725,Edwards,1698,320000,0,1,0
726,NAmes,864,120500,1,0,0
729,NAmes,1776,110000,1,0,0
737,NAmes,1040,93500,1,0,0
739,Edwards,1200,179000,0,1,0
750,Edwards,1529,98000,0,1,0
755,NAmes,1026,156000,1,0,0
761,NAmes,864,127500,1,0,0
762,BrkSide,1301,100000,0,0,1
772,Edwards,1220,102000,0,1,0
773,Edwards,1117,107000,0,1,0
774,NAmes,912,114500,1,0,0
798,NAmes,773,110000,1,0,0
805,NAmes,1128,118000,1,0,0
807,NAmes,980,135500,1,0,0
808,BrkSide,1576,223500,0,0,1
809,NAmes,1086,159950,1,0,0
814,NAmes,1442,157900,1,0,0
815,Edwards,1250,116000,0,1,0
817,NAmes,1008,137000,1,0,0
827,BrkSide,784,109500,0,0,1
831,NAmes,1392,166000,1,0,0
834,NAmes,1516,167000,1,0,0
835,NAmes,1144,139950,1,0,0
840,Edwards,1200,130500,0,1,0
843,NAmes,1165,174900,1,0,0
844,NAmes,1800,141000,1,0,0
854,NAmes,1445,158000,1,0,0
864,NAmes,1148,132500,1,0,0
866,NAmes,1002,148500,1,0,0
871,NAmes,894,109500,1,0,0
873,NAmes,910,116000,1,0,0
874,NAmes,1268,133000,1,0,0
881,Edwards,1090,157000,0,1,0
885,NAmes,892,100000,1,0,0
887,NAmes,1712,145000,1,0,0
888,Edwards,1393,135500,0,1,0
889,NAmes,2217,268000,1,0,0
890,NAmes,1505,149500,1,0,0
891,NAmes,924,122900,1,0,0
896,NAmes,1796,140000,1,0,0
901,NAmes,858,110000,1,0,0
902,NAmes,1306,153000,1,0,0
906,NAmes,1063,128000,1,0,0
911,NAmes,2274,154300,1,0,0
913,BrkSide,1015,88000,0,0,1
918,Edwards,1229,135000,0,1,0
920,NAmes,1414,176500,1,0,0
922,Edwards,2200,145900,0,1,0
932,NAmes,925,117500,1,0,0
935,NAmes,2069,242000,1,0,0
936,BrkSide,747,79900,0,0,1
943,Edwards,1440,150000,0,1,0
947,NAmes,1144,143000,1,0,0
951,NAmes,864,129000,1,0,0
955,Edwards,980,127500,0,1,0
961,BrkSide,858,116500,0,0,1
968,NAmes,1098,135000,1,0,0
970,NAmes,1095,140000,1,0,0
971,NAmes,1192,135000,1,0,0
975,BrkSide,2019,167500,0,0,1
977,BrkSide,869,85500,0,0,1
979,Edwards,894,110000,0,1,0
981,NAmes,999,178400,1,0,0
986,Edwards,1164,125000,0,1,0
993,NAmes,1851,187000,1,0,0
996,BrkSide,1230,121600,0,0,1
997,NAmes,1050,136500,1,0,0
1001,Edwards,944,82000,0,1,0
1007,NAmes,1657,163500,1,0,0
1012,Edwards,1664,100000,0,1,0
1015,NAmes,1082,119200,1,0,0
1021,Edwards,1132,176000,0,1,0
1027,NAmes,1264,167500,1,0,0
1029,NAmes,1376,105000,1,0,0
1036,Edwards,845,84000,0,1,0
1046,Edwards,1733,139600,0,1,0
1050,Edwards,930,84900,0,1,0
1053,NAmes,1977,165000,1,0,0
1054,Edwards,1526,144500,0,1,0
1065,NAmes,1154,154000,1,0,0
1068,NAmes,1611,167900,1,0,0
1070,NAmes,893,135000,1,0,0
1071,NAmes,1048,135000,1,0,0
1073,Edwards,1456,91500,0,1,0
1074,Edwards,1426,159500,0,1,0
1078,NAmes,1096,138800,1,0,0
1084,NAmes,1251,160000,1,0,0
1089,Edwards,1709,137500,0,1,0
1091,NAmes,1040,92900,1,0,0
1094,NAmes,1200,146000,1,0,0
1095,NAmes,936,129000,1,0,0
1099,BrkSide,1324,128000,0,0,1
1102,NAmes,950,119500,1,0,0
1103,NAmes,1134,135000,1,0,0
1104,NAmes,1194,159500,1,0,0
1113,NAmes,816,129900,1,0,0
1114,NAmes,1008,134500,1,0,0
1120,NAmes,1040,133700,1,0,0
1123,Edwards,960,112000,0,1,0
1124,Edwards,698,118000,0,1,0
1126,NAmes,1005,115000,1,0,0
1136,BrkSide,986,102000,0,0,1
1137,NAmes,1252,119000,1,0,0
1140,BrkSide,1167,144000,0,0,1
1141,NAmes,952,139000,1,0,0
1145,Edwards,924,80000,0,1,0
1146,BrkSide,1576,149000,0,0,1
1151,NAmes,932,124000,1,0,0
1152,Edwards,1466,149900,0,1,0
1155,NAmes,1820,201800,1,0,0
1157,NAmes,1265,179900,1,0,0
1169,Edwards,2108,235000,0,1,0
1172,NAmes,1261,163000,1,0,0
1180,Edwards,1124,93000,0,1,0
1186,Edwards,1221,104900,0,1,0
1201,NAmes,864,116050,1,0,0
1203,BrkSide,1348,117000,0,0,1
1209,NAmes,1283,140000,1,0,0
1213,Edwards,672,113000,0,1,0
1215,NAmes,999,134500,1,0,0
1219,BrkSide,912,80500,0,0,1
1221,NAmes,912,115000,1,0,0
1223,NAmes,1846,143000,1,0,0
1224,NAmes,2136,137900,1,0,0
1226,NAmes,1138,145000,1,0,0
1228,NAmes,912,147000,1,0,0
1230,NAmes,1507,127000,1,0,0
1232,NAmes,1190,132500,1,0,0
1233,NAmes,1224,101800,1,0,0
1234,NAmes,1188,142000,1,0,0
1250,NAmes,988,119000,1,0,0
1251,NAmes,2110,244000,1,0,0
1255,Edwards,1656,165400,0,1,0
1256,BrkSide,1367,127500,0,0,1
1258,Edwards,864,99900,0,1,0
1260,NAmes,1054,151000,1,0,0
1262,NAmes,1050,128900,1,0,0
1264,BrkSide,1824,180500,0,0,1
1265,NAmes,1337,181000,1,0,0
1270,NAmes,1524,144000,1,0,0
1274,Edwards,1357,177000,0,1,0
1276,NAmes,1920,137000,1,0,0
1286,BrkSide,1412,132500,0,0,1
1291,NAmes,1152,180500,1,0,0
1295,Edwards,864,115000,0,1,0
1296,NAmes,1052,138500,1,0,0
1297,NAmes,1128,155000,1,0,0
1298,Edwards,1072,140000,0,1,0
1299,Edwards,5642,160000,0,1,0
1300,NAmes,1246,154000,1,0,0
1305,Edwards,1708,130000,0,1,0
1315,Edwards,948,119000,0,1,0
1316,NAmes,2112,206900,1,0,0
1320,Edwards,948,111000,0,1,0
1321,NAmes,1478,156500,1,0,0
1322,BrkSide,720,72500,0,0,1
1324,BrkSide,708,82500,0,0,1
1327,Edwards,774,79000,0,1,0
1333,Edwards,816,100000,0,1,0
1341,NAmes,872,123000,1,0,0
1351,NAmes,2634,200000,1,0,0
1352,NAmes,1716,171000,1,0,0
1353,BrkSide,1176,134900,0,0,1
1357,NAmes,892,110000,1,0,0
1358,NAmes,1078,149900,1,0,0
1363,NAmes,1738,104900,1,0,0
1372,NAmes,1661,165500,1,0,0
1378,Edwards,1604,117000,0,1,0
1381,Edwards,864,58500,0,1,0
1382,NAmes,2117,237500,1,0,0
1385,Edwards,1258,105000,0,1,0
1390,BrkSide,1218,131000,0,0,1
1392,NAmes,1584,124000,1,0,0
1393,NAmes,900,123000,1,0,0
1398,BrkSide,1513,137500,0,0,1
1399,NAmes,1904,138000,1,0,0
1401,BrkSide,1158,120000,0,0,1
1412,NAmes,1668,140000,1,0,0
1413,NAmes,1040,90000,1,0,0
1415,BrkSide,1848,207000,0,0,1
1419,NAmes,1144,124000,1,0,0
1424,Edwards,2201,274970,0,1,0
1425,NAmes,1344,144000,1,0,0
1426,NAmes,1252,142000,1,0,0
1428,NAmes,1558,140000,1,0,0
1436,NAmes,1537,174000,1,0,0
1437,NAmes,864,120500,1,0,0
1444,BrkSide,952,121000,0,0,1
1449,Edwards,1346,112000,0,1,0
1451,NAmes,1792,136000,1,0,0
1453,Edwards,1072,145000,0,1,0
1459,NAmes,1078,142125,1,0,0
1460,Edwards,1256,147500,0,1,0
